gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26601.22,1577,12.658228,14784,16,39.74219,1809.008,314.7227,4627.621,5
26591.43,1577,12.79661,14784,23,39.74219,1809.012,322.0586,4620.281,5
26602.29,1577,9.636517,14816,4,39.74219,1809.012,336.0156,4606.324,5
26602.3,1578,9.661017,14816,4,39.74219,1809.012,315.5977,4626.742,5
26607.85,1578,9.762309,14816,4,39.74219,1809.016,332.1133,4610.223,5
26623.77,1578,11.87447,14816,4,39.75,1809.016,309.7422,4632.586,5
26738.59,1590,19.38514,14848,5,39.76562,1809.039,272.3906,4669.898,5
26630.01,1578,19.88003,14816,15,39.76562,1809.051,258.7695,4683.508,5
26880.62,1577,17.29131,14848,4,39.76562,1809.055,270.7578,4671.516,5
26631.45,1577,20.68085,14880,6,39.76562,1809.055,244.8906,4697.383,5
26616.51,1577,12.881356,14912,5,39.76562,1809.059,263.7773,4678.492,5
26874.83,1577,17.71186,14816,4,39.76562,1809.059,298.0156,4644.254,5
26619.09,1577,20.27257,14816,5,39.78125,1809.082,316.6094,4625.621,5
26634.33,1578,14.949324,14848,4,39.78125,1809.082,329.3281,4612.902,5
26625.73,1578,22.26926,14848,6,39.8125,1809.234,333.3867,4608.66,5
26623.9,1577,14.165261,14816,19,39.84375,1809.48,329.8789,4611.891,5
26607.22,1577,17.00855,14816,9,39.84375,1809.484,306.957,4634.809,5
26597.43,1577,13.524937,14880,7,39.84375,1809.484,353.5234,4588.242,5
26597.45,1577,11.064189,14816,6,39.84375,1809.488,349.7578,4592.004,5
26597.45,1577,11.37321,14816,7,39.84375,1809.488,343.5586,4598.203,5
26597.45,1577,11.600339,14784,7,39.85156,1809.488,361.6133,4580.141,5
26586.6,1577,12.151899,14752,7,39.85156,1809.496,354.4883,4587.258,5
26586.6,1576,11.809045,14784,4,39.85156,1809.496,381.2266,4560.52,5
26586.66,1576,10.840336,14784,5,39.85156,1809.5,381.5078,4560.234,5
26586.62,1576,10.327456,14784,5,39.85156,1809.5,379.4102,4562.332,5
26585.13,1576,9.527825,14784,4,39.85938,1809.5,379.957,4561.777,5
26608.18,1577,10.219595,14816,6,39.85938,1809.5,385.4688,4556.266,5
26615.11,1576,21.26582,14816,7,39.85938,1809.5,375.7461,4565.988,5
26615.11,1576,18.44577,14816,3,39.85938,1809.5,374.4102,4567.324,5
26616.78,1576,16.192937,14848,4,39.85938,1810.5,383.6016,4557.133,5
26615.16,1575,11.594203,14848,17,39.85938,1810.629,359.875,4580.73,5
26615.27,1575,19.33276,14912,8,39.875,1810.66,347.9688,4592.59,5
26617.9,1575,30.02566,14848,7,39.875,1810.66,310.3594,4630.199,5
26617.9,1575,13.895993,14848,4,39.875,1810.66,344.7383,4595.82,5
26613.36,1576,10.526316,14848,4,39.875,1810.664,341.5273,4599.027,5
26615.25,1576,18.50594,14880,5,39.88281,1810.676,324.9648,4615.57,5
26615.31,1576,23.82579,14848,5,39.88281,1810.684,280.3359,4660.191,5
26868.34,1577,26.02389,14848,5,39.88281,1810.684,313.5078,4627.02,5
26615.36,1576,13.225256,14848,5,39.88281,1810.684,321.918,4618.609,5
26632.2,1577,9.94941,14912,5,39.88281,1810.684,325.0,4615.527,5
26616.35,1577,16.9348,14880,9,39.89062,1810.695,316.6562,4623.852,5
26616.04,1578,21.92014,14880,6,39.89062,1810.703,268.1875,4672.312,5
26615.49,1576,21.42252,14848,6,39.89062,1810.766,299.1641,4641.273,5
26814.62,1576,10.876897,14880,3,39.89062,1810.836,301.6406,4638.727,5
26619.46,1577,16.161616,14816,5,39.89844,1810.848,318.2734,4622.074,5
26619.5,1577,21.01695,14880,7,39.91016,1811.082,290.5508,4649.551,5
26620.54,1578,25.12648,14880,6,39.91016,1810.871,300.5469,4639.766,5
26615.41,1576,13.659359,14880,5,39.91016,1810.871,321.043,4619.27,5
26605.62,1576,8.417508,14880,4,39.91016,1810.871,325.8125,4614.5,5
26605.62,1576,7.601351,14880,4,39.91797,1810.863,339.1094,4601.203,5
26605.62,1576,11.176969,14880,5,39.91797,1810.871,319.3672,4620.938,5
26628.68,1579,17.82683,14880,4,39.91797,1810.871,329.0547,4611.25,5
26612.35,1577,16.92177,14880,8,39.92578,1810.883,281.5664,4658.719,5
26612.69,1576,14.419795,14912,5,39.92578,1810.883,318.1641,4622.121,5
26602.74,1576,11.025641,14848,5,39.92578,1810.887,337.707,4602.574,5
26602.29,1579,14.789338,14848,9,39.93359,1810.926,345.9102,4594.324,5
