face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
28022.93,1725.0,9.762309,14902.0,22.0,76.03906,1554.5195,404.0156,4756.523,4
28113.63,1725.0,14.906303,14902.0,5.0,76.03516,1535.2578,529.3945,4650.41,4
28015.07,1724.0,18.78173,14870.0,2.0,76.05078,1525.3906,502.3633,4687.293,4
28017.71,1724.0,19.10017,14870.0,8.0,76.05469,1516.1719,429.8047,4769.066,4
28017.76,1724.0,24.10866,14902.0,4.0,76.38672,1513.0547,521.0742,4680.582,4
28276.41,1725.0,7.77027,14966.0,3.0,76.41797,1513.0703,514.9844,4686.625,4
28019.47,1724.0,8.937605,14966.0,2.0,76.41797,1513.0703,429.8203,4771.789,4
28241.77,1723.0,8.277027,14934.0,2.0,76.42578,1509.8086,454.1641,4750.699,4
28000.77,1723.0,6.011854,14902.0,1.0,76.43359,1509.8281,493.7266,4711.109,4
28014.4,1724.0,8.410429,14838.0,5.0,76.4375,1509.8281,487.3398,4717.492,4
28010.01,1723.0,7.750631999999999,14870.0,2.0,76.4375,1509.9727,489.4922,4715.195,4
28004.77,1723.0,6.081081,14902.0,1.0,76.4375,1509.9727,491.0156,4713.672,4
28267.79,1723.0,6.016949,14902.0,2.0,76.4375,1503.4492,507.1055,4704.105,4
28016.52,1725.0,7.432432,14934.0,2.0,76.44531,1496.9688,501.0898,4716.594,4
28261.98,1731.0,6.610169,14934.0,2.0,76.46875,1497.0195,530.6836,4686.926,4
28062.25,1732.0,6.170752,14966.0,2.0,76.46875,1491.0117,534.8867,4688.73,4
28062.17,1731.0,5.329949,14934.0,1.0,76.48828,1491.0156,528.3984,4695.195,4
28055.92,1731.0,6.35055,14934.0,1.0,76.48828,1485.2539,557.5117,4671.844,4
27987.87,1723.0,8.263069,14934.0,2.0,76.49609,1479.5117,643.5156,4591.574,4
28044.32,1730.0,8.431703,14934.0,2.0,76.49609,1474.1406,656.9805,4583.48,4
28306.12,1734.0,7.97649,14870.0,4.0,76.88281,1473.0117,660.3594,4580.844,4
28056.07,1732.0,6.129303,14870.0,2.0,76.88281,1473.0117,667.7305,4573.473,4
28310.13,1732.0,5.289673,14902.0,2.0,76.89453,1473.0039,667.0156,4574.184,4
27668.15,1722.0,15.722739,14838.0,23.0,76.91016,1468.6523,674.332,4571.203,4
27380.62,1721.0,17.66695,14838.0,1.0,76.91797,1468.5312,696.2969,4549.352,4
27367.8,1721.0,5.832629,14806.0,3.0,76.92188,1468.5312,718.3945,4527.25,4
27373.2,1722.0,15.123195,14806.0,3.0,76.94531,1468.543,627.1484,4618.461,4
27378.72,1721.0,8.270042,14806.0,1.0,76.95312,1468.5625,655.1602,4590.422,4
27482.86,1724.0,17.45363,14806.0,2.0,76.96484,1468.5703,650.8594,4594.703,4
27370.62,1722.0,15.989848,14902.0,4.0,76.96484,1468.5703,696.6016,4548.961,4
27406.86,1722.0,8.312129,14870.0,3.0,76.96484,1468.6289,716.3281,4529.176,4
27619.28,1722.0,14.444444,14838.0,4.0,76.96484,1468.6406,745.3242,4500.168,4
27359.8,1722.0,9.726962,14806.0,4.0,76.96484,1468.6406,744.8281,4500.664,4
27365.49,1721.0,6.536503,14774.0,1.0,76.97266,1468.6406,733.2734,4512.211,4
27425.28,1721.0,9.830508,14806.0,2.0,76.97266,1468.6445,670.6094,4574.871,4
27372.04,1721.0,14.018692,14838.0,2.0,76.97266,1465.9844,624.5039,4623.637,4
27393.39,1723.0,12.829227,14806.0,2.0,76.98438,1465.5898,655.7383,4592.785,4
27409.25,1722.0,16.085106,14774.0,3.0,76.99219,1465.582,565.5586,4682.965,4
27373.24,1723.0,14.006791,14806.0,2.0,76.99219,1465.5859,560.3867,4688.133,4
27378.16,1723.0,6.949153,14838.0,4.0,77.00781,1466.9414,600.6758,4646.473,4
27642.33,1723.0,8.581138,14806.0,6.0,77.01562,1466.7695,584.0547,4663.258,4
27385.09,1724.0,19.25043,14838.0,3.0,77.02734,1466.7891,563.8516,4683.43,4
27428.46,1725.0,20.78365,14902.0,4.0,77.03906,1466.9492,569.6914,4677.418,4
27410.45,1723.0,16.369805,14838.0,6.0,77.03906,1466.9844,490.2656,4756.809,4
27373.55,1723.0,6.77392,14870.0,1.0,77.03906,1466.9688,538.7227,4708.367,4
27374.82,1722.0,5.254237,14870.0,1.0,77.03906,1466.9688,552.2656,4694.824,4
27376.7,1723.0,5.428329,14870.0,2.0,77.03906,1466.9727,560.9609,4686.125,4
27488.04,1726.0,6.175973,14838.0,7.0,77.04688,1466.9727,613.5977,4633.48,4
27608.35,1722.0,6.451613,14838.0,2.0,77.04688,1467.1289,606.3789,4640.543,4
27359.63,1723.0,5.152027,14838.0,3.0,77.04688,1467.1289,614.4688,4632.453,4
27362.61,1722.0,5.832629,14838.0,2.0,77.04688,1467.1328,583.7539,4663.164,4
27368.45,1722.0,12.531753,14838.0,1.0,77.04688,1467.332,579.9883,4666.73,4
27368.97,1722.0,8.453085,14838.0,5.0,77.05469,1467.3984,583.8438,4662.801,4
27367.65,1724.0,21.01695,14806.0,4.0,77.05469,1467.457,541.2969,4705.289,4
27409.02,1724.0,18.45238,14838.0,6.0,77.0625,1467.4805,536.7148,4709.84,4
27627.12,1723.0,16.483516,14870.0,3.0,77.0625,1467.4844,529.4023,4717.148,4
